--- INICIO DEL PROCESO DE RENOMBRADO en epublibre ---
Archivo 'Balzac, Honore de - Penas de amor de una gata inglesa [36999] (r1.2).epub' renombrado y copiado a DONE como 'Balzac, Honoré de - Penas de amor de una gata inglesa [36999] (r1.2).epub'
Archivo 'Barbulo, Tomas - [El Saharaui 02] Virgenes y verdugos [48732] (r1.2).epub' renombrado y copiado a DONE como 'Bárbulo, Tomás - Vírgenes y verdugos.epub'
Archivo 'Barker, J. D. & Patterson, James - La desconocida [78899] (r1.0).epub' renombrado y copiado a DONE como 'Patterson, J. D. Barker & James - La desconocida [78899] (r1.0).epub'
Archivo 'Battaner, Eduardo - Chandrasekhar [81736] (r1.0).epub' renombrado y copiado a DONE como 'Battaner, Eduardo - Chandrasekhar [81736] (r1.0).epub'
Archivo 'Battaner, Eduardo - Historia de la fisica del universo [81343] (r1.0).epub' renombrado y copiado a DONE como 'Battaner, Eduardo - Historia de la física del universo [81343] (r1.0).epub'
Archivo 'Bay, Louise - [New York City Billionaires 02] Pacto con el jefe [79465] (r1.0).epub' renombrado y copiado a DONE como 'Bay, Louise - Pacto con el jefe.epub'
Archivo 'Beard, Mary - SPQR [30365] (r1.4).epub' renombrado y copiado a DONE como 'Beard, Mary - SPQR [30365] (r1.4).epub'
Archivo 'Beaton, M. C. - [Detective Agatha Raisin 09] Agatha Raisin y las brujas desdichadas [79601] (r1.0).epub' renombrado y copiado a DONE como 'Beaton, M. C. - Agatha Raisin y las brujas desdichadas.epub'
Archivo 'Belich, James - El mundo que forjo la peste [79257] (r1.0).epub' renombrado y copiado a DONE como 'Belich, James - El mundo que forjó la peste [79257] (r1.0).epub'
Archivo 'Bellas, Jose & Garcia, Fernando - 100 veces Pappo [81748] (r1.0).epub' renombrado y copiado a DONE como 'García, José Bellas & Fernando - 100 veces Pappo [81748] (r1.0).epub'
Archivo 'Bells, Bethany - Cada vez que me miras [81049] (r1.0).epub' renombrado y copiado a DONE como 'Bells, Bethany - Cada vez que me miras [81049] (r1.0).epub'
Archivo 'Bender, Thomas - Historia de los Estados Unidos [81669] (r1.0 diegoan).epub' renombrado y copiado a DONE como 'Bender, Thomas - Historia de los Estados Unidos [81669] (r1.0 diegoan).epub'
Archivo 'Bengtsdotter, Lina - [Charlie Lager 01] Annabelle [48423] (r1.3).epub' renombrado y copiado a DONE como 'Bengtsdotter, Lina - Annabelle.epub'
Archivo 'Benzo, Fernando - El dragon negro [79615] (r1.0).epub' renombrado y copiado a DONE como 'Benzo, Fernando - El dragón negro [79615] (r1.0).epub'
Archivo 'Bernhard, Thomas - Relatos autobiograficos [81738] (r1.0).epub' renombrado y copiado a DONE como 'Bernhard, Thomas - Relatos autobiográficos [81738] (r1.0).epub'
Archivo 'Bienczyk, Marek - Tworki (El manicomio) [36486] (r1.1).epub' renombrado y copiado a DONE como 'Bienczyk, Marek - Tworki (El manicomio) (El manicomio) [36486] (r1.1).epub'
Archivo 'Bohannon, Cat - Eva [81616] (r1.1).epub' renombrado y copiado a DONE como 'Bohannon, Cat - Eva [81616] (r1.1).epub'
Archivo 'Boyden, Joseph - [Familia Bird 01] Tres dias de camino [81677] (r1.0).epub' renombrado y copiado a DONE como 'Boyden, Joseph - Tres días de camino.epub'
Archivo 'Bree, Sandra & Black, Alexandra - La dormida pasion del highlander [80480] (r1.0).epub' renombrado y copiado a DONE como 'Black, Sandra Bree & Alexandra - La dormida pasión del highlander [80480] (r1.0).epub'
Archivo 'Bree, Sandra - Atraccion fatal [81598] (r1.0).epub' renombrado y copiado a DONE como 'Bree, Sandra - Atracción fatal [81598] (r1.0).epub'
Archivo 'Breslin, Theresa - El sello Medici [6465] (r1.4).epub' renombrado y copiado a DONE como 'Breslin, Theresa - El sello Medici [6465] (r1.4).epub'
Archivo 'Brewer-Giorgio, Gail - Esta vivo Elvis [81845] (r1.0).epub' renombrado y copiado a DONE como 'BrewerGiorgio, Gail - ¿Está vivo Elvis [81845] (r1.0).epub'
Archivo 'Bukowski, Charles - La senda del perdedor [3228] (r1.5).epub' renombrado y copiado a DONE como 'Bukowski, Charles - La senda del perdedor [3228] (r1.5).epub'
Archivo 'Calamaro, Andres - Paracaidas y vueltas [81494] (r1.0).epub' renombrado y copiado a DONE como 'Calamaro, Andrés - Paracaídas y vueltas [81494] (r1.0).epub'
Archivo 'Calvo Poyato, Jose - El hechizo del rey [51836] (r1.2).epub' renombrado y copiado a DONE como 'Poyato, José Calvo - El hechizo del rey [51836] (r1.2).epub'
Archivo 'Calvo Poyato, Jose - Los galeones del rey [11034] (r1.3).epub' renombrado y copiado a DONE como 'Poyato, José Calvo - Los galeones del rey [11034] (r1.3).epub'
Archivo 'Cameron, Rondo E. & Neal, Larry D. - Historia economica mundial [34571] (r1.2).epub' renombrado y copiado a DONE como 'Neal, Rondo E. Cameron & Larry D. - Historia económica mundial [34571] (r1.2).epub'
Archivo 'Camilleri, Andrea - El juez Surra y otros casos sicilianos [79328] (r1.0).epub' renombrado y copiado a DONE como 'Camilleri, Andrea - El juez Surra y otros casos sicilianos [79328] (r1.0).epub'
Archivo 'Campoamor, Clara - La revolucion espanola vista por una republicana [25633] (r1.1).epub' renombrado y copiado a DONE como 'Campoamor, Clara - La revolución española vista por una republicana [25633] (r1.1).epub'
Archivo 'Caparros, Martin - Echeverria [80970] (r1.0).epub' renombrado y copiado a DONE como 'Caparrós, Martín - Echeverría [80970] (r1.0).epub'
Archivo 'Cardalda, Alba - Como mandar a la mierda de forma educada [80842] (r1.1).epub' renombrado y copiado a DONE como 'Cardalda, Alba - Como mandar a la mierda de forma educada [80842] (r1.1).epub'
Archivo 'Carlsson, Christoffer - El hombre de Tiarp [81756] (r1.0).epub' renombrado y copiado a DONE como 'Carlsson, Christoffer - El hombre de Tiarp [81756] (r1.0).epub'
Archivo 'Carr, Robyn - [Virgin River 7.5] Bajo el arbol de Navidad [81851] (r1.0).epub' renombrado y copiado a DONE como 'Carr, Robyn - Bajo el árbol de Navidad.epub'
Archivo 'Castellanos, Nazareth - El puente donde habitan las mariposas [79382] (r1.1).epub' renombrado y copiado a DONE como 'Castellanos, Nazareth - El puente donde habitan las mariposas [79382] (r1.1).epub'
Archivo 'Castro, Francisco - [Inspector Carlos de la Iglesia 01] Ultimas noticias de Sara Silva [77835] (r1.1).epub' renombrado y copiado a DONE como 'Castro, Francisco - Últimas noticias de Sara Silva.epub'
Archivo 'Castro, Olalla - Entre-lugares de la modernidad [81698] (r1.0).epub' renombrado y copiado a DONE como 'Castro, Olalla - Entrelugares de la modernidad [81698] (r1.0).epub'
Archivo 'Castro, Olalla - Manana [81569] (r1.0).epub' renombrado y copiado a DONE como 'Castro, Olalla - Mañana [81569] (r1.0).epub'
Archivo 'Catrileo, Daniela - Pinen [81810] (r1.0).epub' renombrado y copiado a DONE como 'Catrileo, Daniela - Piñen [81810] (r1.0).epub'
Archivo 'Cercas, Javier - El loco de Dios en el fin del mundo [78889] (r1.1).epub' renombrado y copiado a DONE como 'Cercas, Javier - El loco de Dios en el fin del mundo [78889] (r1.1).epub'
Archivo 'Chaparro, Carme - Castigo [74210] (r1.3).epub' renombrado y copiado a DONE como 'Chaparro, Carme - Castigo [74210] (r1.3).epub'
Archivo 'Chaparro, Carme - Delito [69606] (r1.3).epub' renombrado y copiado a DONE como 'Chaparro, Carme - Delito [69606] (r1.3).epub'
Archivo 'Chic, Cherry - Todos los deseos que escribi sin ti [80229] (r1.0).epub' renombrado y copiado a DONE como 'Chic, Cherry - Todos los deseos que escribí sin ti [80229] (r1.0).epub'
Archivo 'Claudel, Philippe - El crepusculo [79818] (r1.0).epub' renombrado y copiado a DONE como 'Claudel, Philippe - El crepúsculo [79818] (r1.0).epub'
Archivo 'Cleave, Paul - Sus tumbas favoritas [80277] (r1.0).epub' renombrado y copiado a DONE como 'Cleave, Paul - Sus tumbas favoritas [80277] (r1.0).epub'
Archivo 'Cline, Ernest - [Ready Player One 02] Ready Player Two [57980] (r2.2).epub' renombrado y copiado a DONE como 'Cline, Ernest - Ready Player Two.epub'
Archivo 'Cocteau, Jean - La voz humana [43206] (r1.2).epub' renombrado y copiado a DONE como 'Cocteau, Jean - La voz humana [43206] (r1.2).epub'
Archivo 'Coelho, Paulo - El alquimista [5368] (r1.3).epub' renombrado y copiado a DONE como 'Coelho, Paulo - El alquimista [5368] (r1.3).epub'
Archivo 'Coetzee, J. M. - Las manos de los maestros II [81146] (r1.0).epub' renombrado y copiado a DONE como 'Coetzee, J. M. - Las manos de los maestros II [81146] (r1.0).epub'
Archivo 'Confucio - Analectas [13405] (r1.4).epub' renombrado y copiado a DONE como 'Confucio - Analectas [13405] (r1.4).epub'
Archivo 'Cornwell, Patricia - [Kay Scarpetta 17] El factor Scarpetta [9925] (r1.2).epub' renombrado y copiado a DONE como 'Cornwell, Patricia - El factor Scarpetta.epub'
Archivo 'Cornwell, Patricia - [Kay Scarpetta 18] Port Mortuary [9935] (r1.4).epub' renombrado y copiado a DONE como 'Cornwell, Patricia - Port Mortuary.epub'
Archivo 'Cornwell, Patricia - [Kay Scarpetta 19] Niebla roja [10531] (r1.3).epub' renombrado y copiado a DONE como 'Cornwell, Patricia - Niebla roja.epub'
Archivo 'Cornwell, Patricia - [Kay Scarpetta 20] Cama de huesos [9923] (r1.4).epub' renombrado y copiado a DONE como 'Cornwell, Patricia - Cama de huesos.epub'
Archivo 'Cosnava, Javier & Ortiz-Tagle, Teresa - [Los casos de Heracles y Agatha 04] Ella quiere matarme [81792] (r1.0).epub' renombrado y copiado a DONE como 'OrtizTagle, Javier Cosnava & Teresa - Ella quiere matarme.epub'
Archivo 'Costa, Flavia - Tecnoceno [81605] (r1.0 UnTalLucas).epub' renombrado y copiado a DONE como 'Costa, Flavia - Tecnoceno [81605] (r1.0 UnTalLucas).epub'
Archivo 'Coupland, Douglas - Generacion X [81778] (r1.0).epub' renombrado y copiado a DONE como 'Coupland, Douglas - Generación X [81778] (r1.0).epub'
Archivo 'Cruz, Evangeline - Escribeme si en tus suenos me encuentras [81574] (r1.0).epub' renombrado y copiado a DONE como 'Cruz, Evangeline - Escríbeme si en tus sueños me encuentras [81574] (r1.0).epub'
Archivo 'Cuevas Calderon, Armando - Especimen 8 [81767] (r1.1).epub' renombrado y copiado a DONE como 'Calderon, Armando Cuevas - Espécimen 8 [81767] (r1.1).epub'
Archivo 'Dahl, Arne - [Grupo A 01] Misterioso [6937] (r1.7).epub' renombrado y copiado a DONE como 'Dahl, Arne - Misterioso.epub'
Archivo 'Dahl, Roald - Cuentos en verso para ninos perversos [23324] (r1.3).epub' renombrado y copiado a DONE como 'Dahl, Roald - Cuentos en verso para niños perversos [23324] (r1.3).epub'
Archivo 'Darder, Mireia - Nacidas para el placer [81672] (r1.0).epub' renombrado y copiado a DONE como 'Darder, Mireia - Nacidas para el placer [81672] (r1.0).epub'
Archivo 'Darwin, Charles - La expresion de las emociones [81802] (r1.0).epub' renombrado y copiado a DONE como 'Darwin, Charles - La expresión de las emociones [81802] (r1.0).epub'
Archivo 'David, Saul - 7 dias en Entebbe [81431] (r1.0).epub' renombrado y copiado a DONE como 'David, Saul - 7 días en Entebbe [81431] (r1.0).epub'
Archivo 'De Braganza, Alfredo - [David Ribas 14] Espias sin manana [71857] (r1.2).epub' renombrado y copiado a DONE como 'Braganza, Alfredo De - Espías sin mañana.epub'
Archivo 'De Luca, Juan Pablo - [Juan Barbicano 01] Mision Tilcara [54561] (r1.1).epub' renombrado y copiado a DONE como 'Luca, Juan Pablo De - Misión Tilcara.epub'
Archivo 'de Quincey, Thomas - Confesiones de un comedor de opio ingles [32013] (r1.2).epub' renombrado y copiado a DONE como 'Quincey, Thomas de - Confesiones de un comedor de opio inglés [32013] (r1.2).epub'
